#chrom	chromStart	chromEnd	name	score	strand	thickStart	thickEnd	reserved	stage
NC_063383.1	116608	116911	OPG135	1000	-	116608	116911	255,51,51	late
NC_063383.1	116911	119587	OPG136	1000	-	116911	119587	255,51,51	late
NC_063383.1	119601	120558	OPG137	1000	+	119601	120558	255,51,51	late
NC_063383.1	120559	121132	OPG138	1000	-	120559	121132	102,178,255	intermediate
NC_063383.1	121155	121368	OPG139	1000	-	121155	121368	255,51,51	late
NC_063383.1	121473	121746	OPG140	1000	-	121473	121746	255,51,51	late
NC_063383.1	121762	121924	OPG141	1000	-	121762	121924	255,51,51	late
NC_063383.1	121913	122198	OPG142	1000	-	121913	122198	102,178,255	intermediate
NC_063383.1	122181	123315	OPG143	1000	-	122181	123315	102,178,255	intermediate
NC_063383.1	123317	123932	OPG144	1000	-	123317	123932	255,51,51	late
NC_063383.1	123946	125425	OPG145	1000	+	123946	125425	102,255,102	early
NC_063383.1	125405	125639	OPG146	1000	-	125405	125639	102,178,255	intermediate
NC_063383.1	125639	125987	OPG147	1000	-	125639	125987	255,51,51	late
NC_063383.1	125985	127266	OPG148	1000	+	125985	127266	102,255,102	early
NC_063383.1	127195	127759	OPG149	1000	+	127195	127759	102,178,255	intermediate
NC_063383.1	127778	128927	OPG150	1000	+	127778	128927	102,255,102	early
NC_063383.1	128923	132418	OPG151	1000	+	128923	132418	102,255,102	early
NC_063383.1	136137	137667	OPG153	1000	-	136137	137667	255,51,51	late
NC_063383.1	137717	138050	OPG154	1000	-	137717	138050	102,178,255	intermediate
NC_063383.1	138050	138491	OPG155	1000	-	138050	138491	255,51,51	late
NC_063383.1	138491	139409	OPG156	1000	-	138491	139409	102,255,102	early
NC_063383.1	139371	139608	OPG157	1000	-	139371	139608	102,178,255	intermediate
NC_063383.1	139640	139769	OPG158	1000	-	139640	139769	102,178,255	intermediate
NC_063383.1	139767	140205	OPG159	1000	+	139767	140205	102,255,102	early
NC_063383.1	140171	141074	OPG160	1000	-	140171	141074	102,178,255	intermediate
NC_063383.1	141101	141647	OPG161	1000	+	141101	141647	102,255,102	early
NC_063383.1	141651	142158	OPG162	1000	+	141651	142158	102,178,255	intermediate
NC_063383.1	142201	142732	OPG163	1000	+	142201	142732	102,255,102	early
NC_063383.1	142777	143464	OPG164	1000	+	142777	143464	102,255,102	early
NC_063383.1	143515	144322	OPG165	1000	+	143515	144322	102,255,102	early
NC_063383.1	144397	144577	OPG166	1000	+	144397	144577	255,255,255	unknown
NC_063383.1	144573	145407	OPG167	1000	-	144573	145407	102,178,255	intermediate
NC_063383.1	146112	146778	OPG170	1000	-	146112	146778	102,255,102	early
NC_063383.1	146987	147389	OPG171	1000	+	146987	147389	102,178,255	intermediate
NC_063383.1	147426	148017	OPG172	1000	+	147426	148017	102,178,255	intermediate
NC_063383.1	148036	148261	OPG173	1000	+	148036	148261	102,255,102	early
NC_063383.1	148354	149395	OPG174	1000	-	148354	149395	102,255,102	early
NC_063383.1	149441	149819	OPG175	1000	+	149441	149819	255,51,51	late
NC_063383.1	149808	150531	OPG176	1000	+	149808	150531	102,255,102	early
NC_063383.1	151508	152123	OPG178	1000	+	151508	152123	102,255,102	early
NC_063383.1	152691	154371	OPG180	1000	+	152691	154371	102,255,102	early
NC_063383.1	154411	155416	OPG181	1000	+	154411	155416	102,255,102	early
NC_063383.1	158916	159858	OPG185	1000	+	158916	159858	102,255,102	early
NC_063383.1	160621	161533	OPG187	1000	+	160621	161533	102,255,102	early
NC_063383.1	161595	163107	OPG188	1000	+	161595	163107	102,255,102	early
NC_063383.1	163332	165018	OPG189	1000	+	163332	165018	102,178,255	intermediate
NC_063383.1	165121	166075	OPG190	1000	+	165121	166075	102,255,102	early
NC_063383.1	166160	166667	OPG191	1000	+	166160	166667	102,255,102	early
NC_063383.1	166730	167279	OPG192	1000	+	166730	167279	255,51,51	late
NC_063383.1	167333	168137	OPG193	1000	+	167333	168137	102,255,102	early
NC_063383.1	168229	168895	OPG195	1000	+	168229	168895	102,178,255	intermediate
NC_063383.1	169669	169972	OPG197	1000	+	169669	169972	102,255,102	early
NC_063383.1	170037	170886	OPG198	1000	+	170037	170886	102,255,102	early
NC_063383.1	170987	172022	OPG199	1000	+	170987	172022	102,255,102	early
NC_063383.1	172149	172599	OPG200	1000	+	172149	172599	102,255,102	early
NC_063383.1	172684	173227	OPG201	1000	+	172684	173227	102,178,255	intermediate
NC_063383.1	174531	175587	OPG204	1000	+	174531	175587	102,255,102	early
NC_063383.1	175655	178019	OPG205	1000	+	175655	178019	102,255,102	early
NC_063383.1	179265	180339	OPG208	1000	+	179265	180339	102,255,102	early
NC_063383.1	189198	189660	OPG005	1000	+	189198	189660	255,255,255	unknown
NC_063383.1	190409	190940	OPG016	1000	+	190409	190940	255,255,255	unknown
NC_063383.1	191053	192367	OPG015	1000	+	191053	192367	255,255,255	unknown
NC_063383.1	192602	194369	OPG003	1000	+	192602	194369	255,255,255	unknown
NC_063383.1	194458	195508	OPG002	1000	+	194458	195508	255,255,255	unknown
